data/31.txt https://www.freitag.de/autoren/liz_weidinger/ein-sexistisches-utopia 2012-07-18 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Only Connect','Liz Weidinger']| None
data/32.txt https://www.freitag.de/autoren/mariemohrmann/literaturnobelpreis-fuer-einen-sprachlosen 2012-10-12 |['Patrisse Khan-Cullors','Hans Springstein']| None
data/33.txt https://www.freitag.de/autoren/andreas-kemper/gute-prognosen-alternative-fuer-deutschland 2013-03-26 |['Patrisse Khan-Cullors','Andreas Kemper','Ehemaliger Nutzer','Dumpfbacken Terminator','Helmut Eckert','Maria Jacobi','Fred Thiele','Der Geneigte Leser']| None
data/34.txt https://www.freitag.de/produkt-der-woche/album/distance/distance_einblicke 2015-07-08 |['Martin Tingvall','Asaf Avidan','Liam Gallagher']| None
data/35.txt https://www.freitag.de/autoren/der-freitag/puenktlich-zum-ruecktritt-unseres-pontifex 2013-03-06 |['Patrisse Khan-Cullors']| None
data/36.txt https://www.freitag.de/autoren/christine-kaeppeler/wir-werden-alle-assange-sein 2012-09-18 |['Patrisse Khan-Cullors','Joachim Petrick']| None
data/37.txt https://www.freitag.de/autoren/michael-angele/bildet-lesekreise-warum-fuer-buchfreunde-das-bewaehrte-oft-genau-das-richtige-ist 2017-10-13 |['Patrisse Khan-Cullors','Michael Angele','Ehemaliger Nutzer']| None
data/38.txt https://www.freitag.de/autoren/hans-huett/frau-dr-seltsams-lachen 2016-02-03 |['Patrisse Khan-Cullors','Ehemaliger Nutzer','Reinhold Schramm','Janto Ban','Montaine Duvall','Jon Doe','Richard Zietz','Mounir Ouali']| None
data/39.txt https://www.freitag.de/autoren/felix-werdermann/die-empoerung-ist-geheuchelt 2013-07-15 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/40.txt https://www.freitag.de/autoren/der-freitag/die-andere-hoelle 2013-02-12 |['Patrisse Khan-Cullors']| None
data/41.txt https://www.freitag.de/autoren/der-freitag/kinder-das-essen-ist-gedruckt 2013-02-23 |['Patrisse Khan-Cullors']| None
data/42.txt https://www.freitag.de/autoren/reimlar/reise-zum-tiefsten-punkt-der-erde 2015-02-04 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/43.txt https://www.freitag.de/autoren/sabine-kebir/nie-wieder-kreuzzug 2015-02-26 |['Patrisse Khan-Cullors','Rufus T. Firefly','Ehemaliger Nutzer']| None
data/44.txt https://www.freitag.de/autoren/franziska-schultess/fast-freie-abgeordnete 2012-10-31 |['Patrisse Khan-Cullors','Costa Esmeralda']| None
data/45.txt https://www.freitag.de/autoren/joerg-augsburg/let2019s-get-ravey 2012-09-18 |['Patrisse Khan-Cullors','Carsten Klotz Von Hoff','Robert Frunzke']| None
data/46.txt https://www.freitag.de/autoren/felix-werdermann/strategisches-waehlen-2.0 2014-05-21 |['Patrisse Khan-Cullors','Felix Werdermann','Ehemaliger Nutzer']| None
data/47.txt https://www.freitag.de/autoren/julius-wolf/wahlkampfauftakt-rostock-wann-kracht-es 2016-03-29 |['Patrisse Khan-Cullors','Steven Hartig','Julius Wolf','Helmut Eckert']| None
data/48.txt https://www.freitag.de/autoren/maxi-leinkauf/fuer-alle-und-keinen 2012-12-28 |['Patrisse Khan-Cullors','Ehemaliger Nutzer']| None
data/49.txt https://www.freitag.de/autoren/der-freitag/das-problem-ist-deutschland 2015-10-14 |['Patrisse Khan-Cullors']| None
data/50.txt https://www.freitag.de/autoren/iden-wagner/europa-und-die-menschenrechte 2017-09-05 |['Patrisse Khan-Cullors']| None
data/51.txt https://www.freitag.de/autoren/baran-korkmaz/was-kostet-das-letzte-hemd 2013-08-12 |['Patrisse Khan-Cullors','Baran Korkmaz']| None
data/52.txt https://www.freitag.de/autoren/der-freitag/ein-vertrag-mit-haken 2015-12-16 |['Patrisse Khan-Cullors']| None
data/53.txt https://www.freitag.de/autoren/rebelcat86/recycling-mit-stil-der-tauschboersen-boom 2013-08-28 |['Patrisse Khan-Cullors']| None
data/54.txt https://www.freitag.de/autoren/der-freitag/liveticker-zur-bundestagswahl 2013-09-22 |['Patrisse Khan-Cullors','Costa Esmeralda','Ehemaliger Nutzer','Janto Ban','Martin Haase-Thomas','Georg Von Grote','Guy Fawkes']| None
data/55.txt https://www.freitag.de/autoren/mladen-gladic/praevention-ist-eine-allmachtsphantasie 2017-06-03 |['Patrisse Khan-Cullors','Christian Füller','Krysztof Daletski','Wolfgang Michal','Verein Enigmabox']| None
data/56.txt https://www.freitag.de/autoren/der-freitag/wunschfilme 2015-04-03 |['Patrisse Khan-Cullors']| None
